claim_id,note_location,claim_text,source_type,primary_source_or_tier,replication_artifact,expected_value,confidence_tier,notes
C01,fn 6,"HUD's 2022 60-day notice proposed to update Form HUD-27061 to collect ""protected class data as required by the Fair Housing Act and HUD regulations at 24 CFR 121""",administrative record,"87 Fed. Reg. 58,524, 58,525 (Sept. 27, 2022)",record/hud-27061/87FR58524_proposal.pdf; record/hud-27061/FRN60_2023.txt,verbatim quote reproduces,A,Primary source. No LLM component. Also supports app. C chronology.
C02,fn 6,"2023 final ICR approved ""Race and Ethnic Collection"" grounded in Title VI and 24 C.F.R. Part 1, identical 8,625-hour burden",administrative record,"88 Fed. Reg. 5,370 (Jan. 27, 2023); OMB Control No. 2535-0113 (approved June 13, 2023)",record/hud-27061/88FR5370_30day_notice.pdf; record/hud-27061/2535-0113_supporting_statement_A.docx; record/hud-27061/SSA_2023.txt,8625 reproduces exactly,A,Primary source. No LLM component. OIRA conclusion content preserved in record/hud-27061/icr_202301-2535-001.html. app. C § C.1.
C03,Part I.E; fn 55,"Full-text search of 2023 Supporting Statement returns zero occurrences of ""24 CFR 121,"" ""Part 121,"" ""Section 504,"" ""Part 8,"" or ""disability"" outside the § 3608(e)(6) quote",administrative record,Supporting Statement A at OMB Control 2535-0113 (June 13 2023),record/hud-27061/SSA_2023.txt,zero occurrences confirmed,A,Primary source. Grep over committed statement text.
C04,Introduction fn 5; Part I.E fn 54,"Part 121 codified at 24 C.F.R. § 121.2 (1989); § 121.2 names ""handicap and family characteristics"" among data categories",primary legal source,24 C.F.R. § 121.2 (1989),"record/hud-27061/cfr_part121_analysis.md sec. 1 (verbatim Part 121 text as of the 2022 proposal date); record/hud-27061/research_outputs/24CFR121_as_of_2022-09-27.txt; record/hud-27061/research_outputs/24CFR121_current_raw.html",verbatim text reproduces,A,Primary source.
C05,Part I.E; fn 53,"1989 Part 121 preamble engages commenters' charge that HUD ""has failed to generate such data"" and states HUD ""remains committed to that objective""",primary legal source,"54 Fed. Reg. 3,232, 3,278-79 (Jan. 23, 1989)","record/hud-27061/54FR3232_part_121_promulgation.pdf (archived 1989 promulgation; preamble at the cited pages)",verbatim quote reproduces,A,Primary source. fn 53 quotes substrings of the passage; the quoted substrings are verbatim.
C06,fn 141,"Subscription-database adv:""24 C.F.R. Part 121"" query returned 8 results in April 2026; only the unpublished ADAPT footnote genuinely engages the regulation; Snyder v. Barry Realty quotes the § 3614a parenthetical",subscription-database docket audit,Author-conducted subscription-database search April 2026,"article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.2.1; replication/queries/part_121.query.txt; full audit memorandum retained privately (replication/DATA_PROVENANCE.md, Privately retained material)",8-document as-run yield; case list reproduces,A,"Human-authored audit memo recording the April 2026 as-run subscription yield. fn 141 as revised prints the July 7, 2026 Westlaw result (seven decisions, all proximity artifacts) and the July 1, 2026 CourtListener null; query string and date frozen; re-verification note in results/supporting/hud_administrative_record_deep_dives.md § 8."
C07,fn 54; fn 122,"ADAPT v. HUD dismissed Part 121 ""law to apply"" argument in a one-sentence footnote; person-level § 3608(e)(6) reading adopted",primary legal source,"ADAPT v. HUD, 1998 WL 113802, at *6 n.20 (E.D. Pa. Mar. 12, 1998), aff'd, 170 F.3d 381 (3d Cir. 1999)",primary source as cited; article/appendices/Appendix_D_Standing_Reviewability_Annex.md sec. D.2,verbatim quote reproduces,A,Primary source. Extended analysis relocated to app. D § D.2.
C08,fn 141,Comparator subscription-database counts: 500+ for 24 C.F.R. § 100.200 et seq.; 42 for 42 U.S.C. § 3614a,subscription-database docket audit,Author-conducted subscription-database search April 2026,"article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.2 (July 7 2026 verification controls); full audit memorandum retained privately (replication/DATA_PROVENANCE.md, Privately retained material)",500+ and 42 reproduce as as-run query yields,A,"Human-authored audit memo recording April 2026 as-run subscription yields (not printed in the Note as revised). July 7, 2026 verification: Westlaw KeyCite Citing References = 37 § 3614a cases; fn 141 as revised prints the CourtListener July 1, 2026 null (no decision citing Part 121 or § 121.2) and the Westlaw seven-decision proximity-artifact result. See the § 8 re-verification note in the artifact file."
C09,fn 141,DOJ subscription-database sweep: 39 § 3604(f)(3) pattern-or-practice decisions; zero Part 121 invocations; two § 3614a citations (Noble Homes; Scott),subscription-database docket audit,Author-conducted subscription-database sweep April 2026,"article/appendices/Appendix_M_Doctrinal_Audit_Methodology.md sec. M.2.2; replication/queries/doj_3604f3.query.txt; full audit memorandum retained privately (replication/DATA_PROVENANCE.md, Privately retained material)",39 / 0 / 2 reproduce,A,"Human-authored audit memo recording the April 2026 as-run sweep. fn 141 as revised prints the zero-substantive-invocation result (via app. M); the 39 and 2 counts are archive-level, not printed."
C10,Part I.A; fn 21,§ 3604(f)(3)(C) implemented via 24 C.F.R. § 100.205 requires seven design-and-construction features,primary legal source,24 C.F.R. § 100.205,"no public in-repository artifact -- 24 C.F.R. Part 100 regulatory text is not archived in this tree; verify at the cited section. Full audit memorandum retained privately (replication/DATA_PROVENANCE.md, Privately retained material)",enumeration reproduces,A,Primary source.
